Vgs,Ids,finger,width
0.625,0.05933126196342062,4.0,75.0
0.65,0.06893549272805131,4.0,75.0
0.675,0.07851548224694528,4.0,75.0
0.7,0.08807132218241354,4.0,75.0
0.725,0.09760310373521759,4.0,75.0
0.75,0.10711091764747084,4.0,75.0
0.775,0.11643737571285538,4.0,75.0
0.8,0.12527913915578928,4.0,75.0
0.825,0.1336101427792097,4.0,75.0
0.85,0.14143050271023766,4.0,75.0
0.875,0.14874232472090818,4.0,75.0
0.9,0.15554807225080294,4.0,75.0
0.925,0.161850213911717,4.0,75.0
0.95,0.16765111035805152,4.0,75.0
0.975,0.1729529696113083,4.0,75.0
1.0,0.17775782714242813,4.0,75.0
1.025,0.18206753636646766,4.0,75.0
1.05,0.1858837639881037,4.0,75.0
1.075,0.18920798776655556,4.0,75.0
1.1,0.1920414955351257,4.0,75.0
1.125,0.19438538487558277,4.0,75.0
1.15,0.19624056311995355,4.0,75.0
1.175,0.19760774749209262,4.0,75.0
1.2,0.19848746527699787,4.0,75.0
0.0,5.712311606801225e-27,4.0,100.0
0.025,1.5670047873306413e-25,4.0,100.0
0.05,4.298617044268958e-24,4.0,100.0
0.075,1.1791992368291935e-22,4.0,100.0
0.1,3.234786504167456e-21,4.0,100.0
0.125,8.873685973271705e-20,4.0,100.0
0.15,2.4342349224838673e-18,4.0,100.0
0.175,6.677608015077554e-17,4.0,100.0
0.2,1.8318054839805007e-15,4.0,100.0
0.225,5.025019922649728e-14,4.0,100.0
0.25,1.3784665153503938e-12,4.0,100.0
0.275,3.7814177121386684e-11,4.0,100.0
0.3,1.0373208019995221e-09,4.0,100.0
0.325,2.845584712906437e-08,4.0,100.0
0.35,7.806024682179578e-07,4.0,100.0
0.375,2.141349103100659e-05,4.0,100.0
0.4,0.0004091734089844364,4.0,100.0
0.425,0.001974440620955115,4.0,100.0
0.45,0.005358206241670116,4.0,100.0
0.475,0.010968882887881998,4.0,100.0
0.5,0.018916508321070467,4.0,100.0
0.525,0.02899841911900951,4.0,100.0
0.55,0.040727749684373434,4.0,100.0
0.575,0.05340038565585853,4.0,100.0
0.6,0.06627026376835869,4.0,100.0
0.625,0.0791083492845608,4.0,100.0
0.65,0.09191399030406841,4.0,100.0
0.675,0.10468730966259368,4.0,100.0
0.7,0.11742842957655136,4.0,100.0
0.725,0.1301374716469568,4.0,100.0
0.75,0.14281455686329442,4.0,100.0
0.775,0.15524983428380712,4.0,100.0
0.8,0.16703885220771902,4.0,100.0
0.825,0.17814685703894628,4.0,100.0
0.85,0.1885740036136502,4.0,100.0
0.875,0.19832309962787759,4.0,100.0
0.9,0.20739742966773728,4.0,100.0
0.925,0.2158002852156226,4.0,100.0
0.95,0.22353481381073537,4.0,100.0
0.975,0.23060395948174442,4.0,100.0
1.0,0.2370104361899041,4.0,100.0
1.025,0.24275671515529018,4.0,100.0
1.05,0.24784501865080488,4.0,100.0
1.075,0.252277317022074,4.0,100.0
1.1,0.25605532738016756,4.0,100.0
1.125,0.25918051316744367,4.0,100.0
1.15,0.26165408415993807,4.0,100.0
1.175,0.2634769966561234,4.0,100.0
1.2,0.26464995370266375,4.0,100.0
0.0,8.56846741020196e-27,4.0,150.0
0.025,2.3505071809959793e-25,4.0,150.0
0.05,6.4479255664035294e-24,4.0,150.0
0.075,1.768798855243803e-22,4.0,150.0
0.1,4.852179756251221e-21,4.0,150.0
0.125,1.3310528959907749e-19,4.0,150.0
0.15,3.6513523837258266e-18,4.0,150.0
0.175,1.0016412022616367e-16,4.0,150.0
0.2,2.7477082259707712e-15,4.0,150.0
0.225,7.537529883974621e-14,4.0,150.0
0.25,2.067699773025599e-12,4.0,150.0
0.275,5.6721265682080246e-11,4.0,150.0
0.3,1.5559812029992887e-09,4.0,150.0
0.325,4.268377069359664e-08,4.0,150.0
0.35,1.170903702326938e-06,4.0,150.0
0.375,3.21202365465099e-05,4.0,150.0
0.4,0.0006137601134766547,4.0,150.0
0.425,0.0029616609314326724,4.0,150.0
0.45,0.008037309362505175,4.0,150.0
0.475,0.016453324331822998,4.0,150.0
0.5,0.028374762481605705,4.0,150.0
0.525,0.04349762867851427,4.0,150.0
0.55,0.06109162452656015,4.0,150.0
0.575,0.08010057848378781,4.0,150.0
0.6,0.09940539565253804,4.0,150.0
0.625,0.11866252392684123,4.0,150.0
0.65,0.13787098545610263,4.0,150.0
0.675,0.15703096449389056,4.0,150.0
0.7,0.17614264436482707,4.0,150.0
0.725,0.19520620747043518,4.0,150.0
0.75,0.21422183529494168,4.0,150.0
0.775,0.23287475142571076,4.0,150.0
0.8,0.25055827831157856,4.0,150.0
0.825,0.2672202855584194,4.0,150.0
0.85,0.2828610054204753,4.0,150.0
0.875,0.29748464944181635,4.0,150.0
0.9,0.3110961445016059,4.0,150.0
0.925,0.323700427823434,4.0,150.0
0.95,0.33530222071610305,4.0,150.0
0.975,0.3459059392226166,4.0,150.0
1.0,0.35551565428485626,4.0,150.0
1.025,0.3641350727329353,4.0,150.0
1.05,0.3717675279762074,4.0,150.0
1.075,0.3784159755331111,4.0,150.0
1.1,0.3840829910702514,4.0,150.0
1.125,0.38877076975116553,4.0,150.0
1.15,0.3924811262399071,4.0,150.0
1.175,0.39521549498418523,4.0,150.0
1.2,0.39697493055399574,4.0,150.0
0.0,2.8561558034006125e-27,8.0,25.0
0.025,7.835023936653206e-26,8.0,25.0
0.05,2.149308522134479e-24,8.0,25.0
0.075,5.895996184145968e-23,8.0,25.0
0.1,1.617393252083728e-21,8.0,25.0
0.125,4.4368429866358524e-20,8.0,25.0
0.15,1.2171174612419337e-18,8.0,25.0
0.175,3.338804007538777e-17,8.0,25.0
0.2,9.159027419902504e-16,8.0,25.0
0.225,2.512509961324864e-14,8.0,25.0
0.25,6.892332576751969e-13,8.0,25.0
0.275,1.8907088560693342e-11,8.0,25.0
0.3,5.186604009997611e-10,8.0,25.0
0.325,1.4227923564532185e-08,8.0,25.0
0.35,3.903012341089789e-07,8.0,25.0
0.375,1.0706745515503295e-05,8.0,25.0
0.4,0.0002045867044922182,8.0,25.0
0.425,0.0009872203104775575,8.0,25.0
0.45,0.002679103120835058,8.0,25.0
0.475,0.005484441443940999,8.0,25.0
0.5,0.009458254160535234,8.0,25.0
0.525,0.014499209559504756,8.0,25.0
0.55,0.020363874842186717,8.0,25.0
0.575,0.026700192827929264,8.0,25.0
0.6,0.033135131884179346,8.0,25.0
0.625,0.0395541746422804,8.0,25.0
0.65,0.045956995152034205,8.0,25.0
0.675,0.05234365483129684,8.0,25.0
0.7,0.05871421478827568,8.0,25.0
0.725,0.0650687358234784,8.0,25.0
0.75,0.07140727843164721,8.0,25.0
0.775,0.07762491714190356,8.0,25.0
0.8,0.08351942610385951,8.0,25.0
0.825,0.08907342851947314,8.0,25.0
0.85,0.0942870018068251,8.0,25.0
0.875,0.09916154981393879,8.0,25.0
0.9,0.10369871483386864,8.0,25.0
0.925,0.1079001426078113,8.0,25.0
0.95,0.11176740690536768,8.0,25.0
0.975,0.11530197974087221,8.0,25.0
1.0,0.11850521809495206,8.0,25.0
1.025,0.12137835757764509,8.0,25.0
1.05,0.12392250932540244,8.0,25.0
1.075,0.126138658511037,8.0,25.0
1.1,0.12802766369008378,8.0,25.0
1.125,0.12959025658372184,8.0,25.0
1.15,0.13082704207996904,8.0,25.0
1.175,0.1317384983280617,8.0,25.0
1.2,0.13232497685133188,8.0,25.0
0.0,1.142462321360245e-26,8.0,100.0
0.025,3.1340095746612826e-25,8.0,100.0
0.05,8.597234088537916e-24,8.0,100.0
0.075,2.358398473658387e-22,8.0,100.0
0.1,6.469573008334912e-21,8.0,100.0
0.125,1.774737194654341e-19,8.0,100.0
0.15,4.868469844967735e-18,8.0,100.0
0.175,1.3355216030155108e-16,8.0,100.0
0.2,3.6636109679610014e-15,8.0,100.0
0.225,1.0050039845299456e-13,8.0,100.0
0.25,2.7569330307007876e-12,8.0,100.0
0.275,7.562835424277337e-11,8.0,100.0
